"vol","price","side","date time"
100,18.8,sell,2024-11-15 09:37:32
"1,400",18.8,sell,2024-11-15 09:37:32
"3,000",18.8,buy,2024-11-15 09:37:37
"25,300",18.8,buy,2024-11-15 09:37:44
500,18.8,buy,2024-11-15 09:37:51
"1,000",18.8,buy,2024-11-15 09:37:53
"5,000",18.8,buy,2024-11-15 09:37:53
300,18.8,buy,2024-11-15 09:37:55
100,18.8,buy,2024-11-15 09:38:00
"20,000",18.8,buy,2024-11-15 09:38:01
100,18.75,sell,2024-11-15 09:38:01
900,18.75,sell,2024-11-15 09:38:01
"10,000",18.75,sell,2024-11-15 09:38:01
"9,100",18.75,sell,2024-11-15 09:38:01
900,18.75,sell,2024-11-15 09:38:01
100,18.75,sell,2024-11-15 09:38:01
100,18.75,sell,2024-11-15 09:38:01
100,18.8,buy,2024-11-15 09:38:13
"3,000",18.8,buy,2024-11-15 09:38:16
200,18.75,sell,2024-11-15 09:38:19
200,18.8,buy,2024-11-15 09:38:26
100,18.8,buy,2024-11-15 09:38:31
"20,000",18.8,buy,2024-11-15 09:38:41
"1,600",18.8,buy,2024-11-15 09:38:41
"2,000",18.8,buy,2024-11-15 09:38:45
200,18.8,buy,2024-11-15 09:38:54
200,18.8,buy,2024-11-15 09:38:56
200,18.8,buy,2024-11-15 09:38:56
600,18.75,sell,2024-11-15 09:38:57
100,18.8,buy,2024-11-15 09:39:01
100,18.8,buy,2024-11-15 09:39:03
700,18.8,buy,2024-11-15 09:39:04
"1,000",18.8,buy,2024-11-15 09:39:04
"3,000",18.8,buy,2024-11-15 09:39:04
"2,000",18.8,buy,2024-11-15 09:39:04
"3,200",18.8,buy,2024-11-15 09:39:04
100,18.8,buy,2024-11-15 09:39:04
"5,000",18.8,buy,2024-11-15 09:39:16
"4,900",18.8,buy,2024-11-15 09:39:19
100,18.8,buy,2024-11-15 09:39:19
300,18.75,sell,2024-11-15 09:39:27
"2,500",18.75,sell,2024-11-15 09:39:37
500,18.75,sell,2024-11-15 09:39:58
100,18.75,sell,2024-11-15 09:40:05
"2,000",18.8,buy,2024-11-15 09:40:09
100,18.8,buy,2024-11-15 09:40:15
500,18.8,buy,2024-11-15 09:40:30
500,18.8,buy,2024-11-15 09:40:40
500,18.8,buy,2024-11-15 09:40:46
100,18.8,buy,2024-11-15 09:41:13
200,18.8,buy,2024-11-15 09:41:13
100,18.8,buy,2024-11-15 09:41:14
200,18.8,buy,2024-11-15 09:41:17
"5,700",18.8,buy,2024-11-15 09:41:18
"10,000",18.8,buy,2024-11-15 09:41:18
"20,000",18.8,buy,2024-11-15 09:41:18
200,18.8,buy,2024-11-15 09:41:18
600,18.8,buy,2024-11-15 09:41:18
"13,500",18.8,buy,2024-11-15 09:41:18
